symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RELI,2018-10-05 00:00:00+00:00,0.0295,0.0295,0.029225,0.0295,124450,37.926675,37.926675,37.57312125,37.926675,96,0.0,1.0
RELI,2018-10-08 00:00:00+00:00,0.02918,0.0295,0.0231,0.0231,123000,37.515267,37.926675,29.698515,29.698515,95,0.0,1.0
RELI,2018-10-09 00:00:00+00:00,0.071,0.073,0.02828,0.02854,9540370,91.28115,93.85245,36.358182,36.692451,7420,0.0,1.0
RELI,2018-10-10 00:00:00+00:00,0.0799,0.0889,0.064,0.075,4666577,102.723435,114.294285,82.2816,96.42375,3629,0.0,1.0
RELI,2018-10-11 00:00:00+00:00,0.0811,0.0811,0.0595,0.0795,2311142,104.266215,104.266215,76.496175,102.209175,1797,0.0,1.0
RELI,2018-10-12 00:00:00+00:00,0.0696,0.0813,0.068,0.0813,2370536,89.48124,104.523345,87.4242,104.523345,1843,0.0,1.0
RELI,2018-10-15 00:00:00+00:00,0.08955,0.105,0.06825,0.06825,4736404,115.1299575,134.99325,87.7456125,87.7456125,3684,0.0,1.0
RELI,2018-10-16 00:00:00+00:00,0.099315,0.126,0.08392,0.09,2858555,127.68432975,161.9919,107.891748,115.7085,2223,0.0,1.0
RELI,2018-10-17 00:00:00+00:00,0.069,0.124,0.0598,0.1145,4196541,88.70985,159.4206,76.88187,147.206925,3264,0.0,1.0
RELI,2018-10-18 00:00:00+00:00,0.0775,0.085,0.0635,0.06625,960191,99.637875,109.28025,81.638775,85.1743125,746,0.0,1.0
RELI,2018-10-19 00:00:00+00:00,0.081,0.085,0.072,0.08075,789056,104.13765,109.28025,92.5668,103.8162375,613,0.0,1.0
RELI,2018-10-22 00:00:00+00:00,0.06,0.09,0.0569,0.09,1007814,77.139,115.7085,73.153485,115.7085,783,0.0,1.0
RELI,2018-10-23 00:00:00+00:00,0.082,0.084,0.054,0.06,1002347,105.4233,107.9946,69.4251,77.139,779,0.0,1.0
RELI,2018-10-24 00:00:00+00:00,0.069595,0.07875,0.062,0.076,603701,89.47481175,101.2449375,79.7103,97.7094,469,0.0,1.0
RELI,2018-10-25 00:00:00+00:00,0.067,0.09,0.055,0.07,2347223,86.13855,115.7085,70.71075,89.9955,1825,0.0,1.0
RELI,2018-10-26 00:00:00+00:00,0.06,0.07,0.0519,0.07,1265796,77.139,89.9955,66.725235,89.9955,984,0.0,1.0
RELI,2018-10-29 00:00:00+00:00,0.0613,0.0649,0.0525,0.05435,380144,78.810345,83.438685,67.496625,69.8750775,295,0.0,1.0
RELI,2018-10-30 00:00:00+00:00,0.062,0.0725,0.0581,0.06475,1120044,79.7103,93.209625,74.696265,83.2458375,871,0.0,1.0
RELI,2018-10-31 00:00:00+00:00,0.075,0.0805,0.057,0.065,1196017,96.42375,103.494825,73.28205,83.56725,930,0.0,1.0
RELI,2018-11-01 00:00:00+00:00,0.0787,0.0789,0.067,0.0735,331601,101.180655,101.437785,86.13855,94.495275,257,0.0,1.0
RELI,2018-11-02 00:00:00+00:00,0.077,0.0779,0.07,0.0744,625245,98.99505,100.152135,89.9955,95.65236,486,0.0,1.0
RELI,2018-11-05 00:00:00+00:00,0.0768,0.088,0.068,0.077,938044,98.73792,113.1372,87.4242,98.99505,729,0.0,1.0
RELI,2018-11-06 00:00:00+00:00,0.071,0.08102,0.0701,0.0768,569670,91.28115,104.163363,90.124065,98.73792,443,0.0,1.0
RELI,2018-11-07 00:00:00+00:00,0.065,0.072,0.0646,0.072,347152,83.56725,92.5668,83.05299,92.5668,270,0.0,1.0
RELI,2018-11-08 00:00:00+00:00,0.0735,0.08,0.06,0.0666,583093,94.495275,102.852,77.139,85.62429,453,0.0,1.0
RELI,2018-11-09 00:00:00+00:00,0.078,0.0795,0.066,0.076,405918,100.2807,102.209175,84.8529,97.7094,315,0.0,1.0
RELI,2018-11-12 00:00:00+00:00,0.085,0.085,0.0703,0.078,517308,109.28025,109.28025,90.381195,100.2807,402,0.0,1.0
RELI,2018-11-13 00:00:00+00:00,0.09,0.091,0.07645,0.085,807987,115.7085,116.99415,98.2879425,109.28025,628,0.0,1.0
RELI,2018-11-14 00:00:00+00:00,0.1761,0.18,0.093,0.114,6043648,226.402965,231.417,119.56545,146.5641,4700,0.0,1.0
RELI,2018-11-15 00:00:00+00:00,0.21941,0.339,0.155,0.177,3246578,282.0844665,435.83535,199.27575,227.56005,2525,0.0,1.0
RELI,2018-11-16 00:00:00+00:00,0.25,0.28,0.18,0.215,1075159,321.4125,359.982,231.417,276.41475,836,0.0,1.0
RELI,2018-11-19 00:00:00+00:00,0.19,0.305,0.18,0.18,2693501,244.2735,392.12325,231.417,231.417,2095,0.0,1.0
RELI,2018-11-20 00:00:00+00:00,0.18,0.225,0.1762,0.2099,1328443,231.417,289.27125,226.53153,269.857935,1033,0.0,1.0
RELI,2018-11-21 00:00:00+00:00,0.1799,0.2045,0.15,0.185,481452,231.288435,262.915425,192.8475,237.84525,374,0.0,1.0
RELI,2018-11-23 00:00:00+00:00,0.1965,0.2,0.1701,0.19,54189,252.630225,257.13,218.689065,244.2735,42,0.0,1.0
RELI,2018-11-26 00:00:00+00:00,0.16,0.209,0.15,0.198,541828,205.704,268.70085,192.8475,254.5587,421,0.0,1.0
RELI,2018-11-27 00:00:00+00:00,0.143,0.16,0.1125,0.13,1284836,183.84795,205.704,144.635625,167.1345,999,0.0,1.0
RELI,2018-11-28 00:00:00+00:00,0.175,0.177,0.125,0.1431,357741,224.98875,227.56005,160.70625,183.976515,278,0.0,1.0
RELI,2018-11-29 00:00:00+00:00,0.225,0.25,0.15,0.17,811543,289.27125,321.4125,192.8475,218.5605,631,0.0,1.0
RELI,2018-11-30 00:00:00+00:00,0.17755,0.258,0.1582,0.258,544260,228.2671575,331.6977,203.38983,331.6977,423,0.0,1.0
RELI,2018-12-03 00:00:00+00:00,0.22095,0.24,0.1678,0.1678,403255,284.0643675,308.556,215.73207,215.73207,313,0.0,1.0
RELI,2018-12-04 00:00:00+00:00,0.2001,0.22855,0.1777,0.19,492428,257.258565,293.8353075,228.460005,244.2735,383,0.0,1.0
RELI,2018-12-06 00:00:00+00:00,0.1575,0.2,0.1507,0.2,805880,202.489875,257.13,193.747455,257.13,626,0.0,1.0
RELI,2018-12-07 00:00:00+00:00,0.155,0.1575,0.145,0.15475,231904,199.27575,202.489875,186.41925,198.9543375,180,0.0,1.0
RELI,2018-12-10 00:00:00+00:00,0.154,0.1575,0.129,0.1575,260731,197.9901,202.489875,165.84885,202.489875,202,0.0,1.0
RELI,2018-12-11 00:00:00+00:00,0.1499,0.154,0.1375,0.1375,175097,192.718935,197.9901,176.776875,176.776875,136,0.0,1.0
RELI,2018-12-12 00:00:00+00:00,0.1849,0.21,0.129,0.1498,1171597,237.716685,269.9865,165.84885,192.59037,911,0.0,1.0
RELI,2018-12-13 00:00:00+00:00,0.19465,0.1955,0.1625,0.1625,67815,250.2517725,251.344575,208.918125,208.918125,52,0.0,1.0
RELI,2018-12-14 00:00:00+00:00,0.1923,0.2,0.183,0.1943,187685,247.230495,257.13,235.27395,249.801795,145,0.0,1.0
RELI,2018-12-17 00:00:00+00:00,0.1845,0.21,0.183,0.1843,300681,237.202425,269.9865,235.27395,236.945295,233,0.0,1.0
RELI,2018-12-18 00:00:00+00:00,0.185,0.225,0.129,0.209,423651,237.84525,289.27125,165.84885,268.70085,329,0.0,1.0
RELI,2018-12-19 00:00:00+00:00,0.131,0.1699,0.121,0.165,1248804,168.42015,218.431935,155.56365,212.13225,971,0.0,1.0
RELI,2018-12-20 00:00:00+00:00,0.105,0.1357,0.081,0.1357,911297,134.99325,174.462705,104.13765,174.462705,708,0.0,1.0
RELI,2018-12-21 00:00:00+00:00,0.1514,0.1522,0.09,0.114,332403,194.64741,195.67593,115.7085,146.5641,258,0.0,1.0
RELI,2018-12-24 00:00:00+00:00,0.151,0.158,0.1355,0.15,135700,194.13315,203.1327,174.205575,192.8475,105,0.0,1.0
RELI,2018-12-26 00:00:00+00:00,0.17375,0.17375,0.13,0.13,239794,223.3816875,223.3816875,167.1345,167.1345,186,0.0,1.0
RELI,2018-12-27 00:00:00+00:00,0.18,0.189,0.169,0.175,122411,231.417,242.98785,217.27485,224.98875,95,0.0,1.0
RELI,2018-12-28 00:00:00+00:00,0.199,0.199,0.167,0.18,140685,255.84435,255.84435,214.70355,231.417,109,0.0,1.0
RELI,2018-12-31 00:00:00+00:00,0.175,0.18279,0.1596,0.181,231116,224.98875,235.0039635,205.18974,232.70265,179,0.0,1.0
RELI,2019-01-02 00:00:00+00:00,0.155,0.16,0.132,0.15911,190486,199.27575,205.704,169.7058,204.5597715,148,0.0,1.0
RELI,2019-01-03 00:00:00+00:00,0.1588,0.1588,0.1401,0.155,148261,204.16122,204.16122,180.119565,199.27575,115,0.0,1.0
RELI,2019-01-04 00:00:00+00:00,0.1749,0.1749,0.1305,0.1305,198760,224.860185,224.860185,167.777325,167.777325,154,0.0,1.0
RELI,2019-01-07 00:00:00+00:00,0.162,0.175,0.155,0.1723,114511,208.2753,224.98875,199.27575,221.517495,89,0.0,1.0
RELI,2019-01-08 00:00:00+00:00,0.1675,0.174,0.155,0.164,186486,215.346375,223.7031,199.27575,210.8466,145,0.0,1.0
RELI,2019-01-09 00:00:00+00:00,0.175,0.18,0.155,0.16125,341072,224.98875,231.417,199.27575,207.3110625,265,0.0,1.0
RELI,2019-01-10 00:00:00+00:00,0.174,0.174,0.161,0.17,244964,223.7031,223.7031,206.98965,218.5605,190,0.0,1.0
RELI,2019-01-11 00:00:00+00:00,0.1999,0.2,0.16975,0.17,266228,257.001435,257.13,218.2390875,218.5605,207,0.0,1.0
RELI,2019-01-14 00:00:00+00:00,0.198,0.1999,0.18,0.18,183232,254.5587,257.001435,231.417,231.417,142,0.0,1.0
RELI,2019-01-15 00:00:00+00:00,0.17,0.1943,0.16,0.184,447630,218.5605,249.801795,205.704,236.5596,348,0.0,1.0
RELI,2019-01-16 00:00:00+00:00,0.16102,0.199,0.15,0.173,262881,207.015363,255.84435,192.8475,222.41745,204,0.0,1.0
RELI,2019-01-17 00:00:00+00:00,0.215,0.2358,0.140895,0.140895,675892,276.41475,303.15627,181.14165675,181.14165675,525,0.0,1.0
RELI,2019-01-18 00:00:00+00:00,0.2,0.24,0.1861,0.24,572477,257.13,308.556,239.259465,308.556,445,0.0,1.0
RELI,2019-01-22 00:00:00+00:00,0.198,0.21,0.186,0.2,126453,254.5587,269.9865,239.1309,257.13,98,0.0,1.0
RELI,2019-01-23 00:00:00+00:00,0.20912,0.21,0.190395,0.2,53755,268.855128,269.9865,244.78133175,257.13,41,0.0,1.0
RELI,2019-01-24 00:00:00+00:00,0.1949,0.2089,0.185,0.19,160905,250.573185,268.572285,237.84525,244.2735,125,0.0,1.0
RELI,2019-01-25 00:00:00+00:00,0.1889,0.1945,0.17,0.1945,94981,242.859285,250.058925,218.5605,250.058925,73,0.0,1.0
RELI,2019-01-28 00:00:00+00:00,0.183815,0.195,0.166,0.195,103178,236.32175475,250.70175,213.4179,250.70175,80,0.0,1.0
RELI,2019-01-29 00:00:00+00:00,0.18,0.1848,0.167,0.18025,85800,231.417,237.58812,214.70355,231.7384125,66,0.0,1.0
RELI,2019-01-30 00:00:00+00:00,0.20135,0.205,0.16635,0.16635,205426,258.8656275,263.55825,213.8678775,213.8678775,159,0.0,1.0
RELI,2019-01-31 00:00:00+00:00,0.21,0.24,0.185,0.21,337285,269.9865,308.556,237.84525,269.9865,262,0.0,1.0
RELI,2019-02-01 00:00:00+00:00,0.2005,0.21,0.18,0.2085,97178,257.772825,269.9865,231.417,268.058025,75,0.0,1.0
RELI,2019-02-04 00:00:00+00:00,0.19,0.205,0.175,0.19,285565,244.2735,263.55825,224.98875,244.2735,222,0.0,1.0
RELI,2019-02-05 00:00:00+00:00,0.174725,0.178,0.15,0.178,494769,224.63519625,228.8457,192.8475,228.8457,384,0.0,1.0
RELI,2019-02-06 00:00:00+00:00,0.1725,0.189,0.1525,0.155,244112,221.774625,242.98785,196.061625,199.27575,189,0.0,1.0
RELI,2019-02-07 00:00:00+00:00,0.189,0.2,0.1451,0.2,955324,242.98785,257.13,186.547815,257.13,743,0.0,1.0
RELI,2019-02-08 00:00:00+00:00,0.16,0.17,0.1511,0.165,461194,205.704,218.5605,194.261715,212.13225,358,0.0,1.0
RELI,2019-02-11 00:00:00+00:00,0.15832,0.1678,0.15,0.159355,303519,203.544108,215.73207,192.8475,204.87475575,236,0.0,1.0
RELI,2019-02-12 00:00:00+00:00,0.135,0.1588,0.1201,0.15,977398,173.56275,204.16122,154.406565,192.8475,760,0.0,1.0
RELI,2019-02-13 00:00:00+00:00,0.144455,0.1588,0.136,0.144,240865,185.71857075,204.16122,174.8484,185.1336,187,0.0,1.0
RELI,2019-02-14 00:00:00+00:00,0.1475,0.1535,0.135,0.1535,34721,189.633375,197.347275,173.56275,197.347275,27,0.0,1.0
RELI,2019-02-15 00:00:00+00:00,0.1324,0.145,0.13,0.137,127456,170.22006,186.41925,167.1345,176.13405,99,0.0,1.0
RELI,2019-02-19 00:00:00+00:00,0.1332,0.15,0.12,0.13,102095,171.24858,192.8475,154.278,167.1345,79,0.0,1.0
RELI,2019-02-20 00:00:00+00:00,0.138,0.1389,0.12,0.13325,114600,177.4197,178.576785,154.278,171.3128625,89,0.0,1.0
RELI,2019-02-21 00:00:00+00:00,0.144,0.144,0.1225,0.135225,125020,185.1336,185.1336,157.492125,173.85202125,97,0.0,1.0
RELI,2019-02-22 00:00:00+00:00,0.1419,0.1425,0.1226,0.1353,134200,182.433735,183.205125,157.62069,173.948445,104,0.0,1.0
RELI,2019-02-25 00:00:00+00:00,0.1425,0.1425,0.123,0.1275,142619,183.205125,183.205125,158.13495,163.920375,110,0.0,1.0
RELI,2019-02-26 00:00:00+00:00,0.148,0.148,0.127,0.137,29128,190.2762,190.2762,163.27755,176.13405,22,0.0,1.0
RELI,2019-02-27 00:00:00+00:00,0.153,0.158,0.13,0.1485,212258,196.70445,203.1327,167.1345,190.919025,165,0.0,1.0
RELI,2019-02-28 00:00:00+00:00,0.169,0.1705,0.1379,0.153,516709,217.27485,219.203325,177.291135,196.70445,401,0.0,1.0
RELI,2019-03-01 00:00:00+00:00,0.1725,0.18025,0.16,0.18025,238616,221.774625,231.7384125,205.704,231.7384125,185,0.0,1.0
RELI,2019-03-04 00:00:00+00:00,0.1837,0.2,0.169,0.175,357293,236.173905,257.13,217.27485,224.98875,277,0.0,1.0
RELI,2019-03-05 00:00:00+00:00,0.195,0.2,0.1815,0.1837,278518,250.70175,257.13,233.345475,236.173905,216,0.0,1.0
RELI,2019-03-06 00:00:00+00:00,0.209675,0.22,0.195,0.195,383254,269.56866375,282.843,250.70175,250.70175,298,0.0,1.0
RELI,2019-03-07 00:00:00+00:00,0.215,0.215,0.1682,0.209,306690,276.41475,276.41475,216.24633,268.70085,238,0.0,1.0
RELI,2019-03-08 00:00:00+00:00,0.198,0.2,0.18,0.1801,81169,254.5587,257.13,231.417,231.545565,63,0.0,1.0
RELI,2019-03-11 00:00:00+00:00,0.195,0.21,0.17,0.19,112475,250.70175,269.9865,218.5605,244.2735,87,0.0,1.0
RELI,2019-03-12 00:00:00+00:00,0.1943,0.21,0.1943,0.1965,80953,249.801795,269.9865,249.801795,252.630225,62,0.0,1.0
RELI,2019-03-13 00:00:00+00:00,0.199,0.199,0.18,0.18,28003,255.84435,255.84435,231.417,231.417,21,0.0,1.0
RELI,2019-03-14 00:00:00+00:00,0.194,0.197,0.175,0.195,74600,249.4161,253.27305,224.98875,250.70175,58,0.0,1.0
RELI,2019-03-15 00:00:00+00:00,0.1925,0.1927,0.18,0.1845,50375,247.487625,247.744755,231.417,237.202425,39,0.0,1.0
RELI,2019-03-18 00:00:00+00:00,0.17,0.1902,0.151,0.17585,335869,218.5605,244.53063,194.13315,226.0815525,261,0.0,1.0
RELI,2019-03-19 00:00:00+00:00,0.168,0.16925,0.155,0.16925,97390,215.9892,217.5962625,199.27575,217.5962625,75,0.0,1.0
RELI,2019-03-20 00:00:00+00:00,0.184,0.195,0.16,0.16,327434,236.5596,250.70175,205.704,205.704,254,0.0,1.0
RELI,2019-03-21 00:00:00+00:00,0.148,0.2045,0.13885,0.2045,736104,190.2762,262.915425,178.5125025,262.915425,572,0.0,1.0
RELI,2019-03-22 00:00:00+00:00,0.148,0.148,0.1438,0.1438,83663,190.2762,190.2762,184.87647,184.87647,65,0.0,1.0
RELI,2019-03-25 00:00:00+00:00,0.1588,0.1588,0.145,0.148,122893,204.16122,204.16122,186.41925,190.2762,95,0.0,1.0
RELI,2019-03-26 00:00:00+00:00,0.1605,0.1605,0.15,0.158,48200,206.346825,206.346825,192.8475,203.1327,37,0.0,1.0
RELI,2019-03-27 00:00:00+00:00,0.1515,0.16,0.144,0.15,167500,194.775975,205.704,185.1336,192.8475,130,0.0,1.0
RELI,2019-03-28 00:00:00+00:00,0.164,0.164,0.1316,0.144,343472,210.8466,210.8466,169.19154,185.1336,267,0.0,1.0
RELI,2019-03-29 00:00:00+00:00,0.164,0.164,0.14,0.14,74523,210.8466,210.8466,179.991,179.991,57,0.0,1.0
RELI,2019-04-01 00:00:00+00:00,0.156,0.15905,0.141,0.15,47125,200.5614,204.4826325,181.27665,192.8475,36,0.0,1.0
